interaction_id,datetime_start,queue_skill,channel,duration_talk,hold_time,wrap_up_time,agent_id,transfer_flag,caller_id
id_1,2024-01-07 11:28:00,ventas,voz,708,17,22,A3,False,+34693410762
id_2,2024-01-24 12:35:00,soporte,voz,1028,37,26,A2,True,+34613953367
id_3,2024-01-12 13:01:00,ventas,email,507,20,43,A5,False,+34642860080
id_4,2024-01-27 18:41:00,ventas,email,217,24,37,A4,False,+34632049003
id_5,2024-01-23 11:56:00,ventas,voz,624,19,30,A1,False,+34695672411
id_6,2024-01-15 19:06:00,soporte,voz,789,52,45,A5,False,+34668979792
id_7,2024-01-04 09:39:00,ventas,email,510,60,44,A2,True,+34652631083
id_8,2024-01-02 17:35:00,posventa,voz,321,44,42,A4,False,+34636433622
id_9,2024-01-28 16:39:00,retenciones,voz,694,43,75,A2,False,+34657055419
id_10,2024-01-28 16:28:00,posventa,chat,814,41,53,A3,False,+34691355424
id_11,2024-01-27 12:41:00,soporte,voz,432,23,44,A3,False,+34604545583
id_12,2024-01-23 14:23:00,ventas,voz,795,49,65,A4,False,+34614881728
id_13,2024-01-03 12:46:00,ventas,chat,794,45,62,A3,False,+34697636744
id_14,2024-01-15 17:41:00,retenciones,voz,667,2,35,A4,False,+34628433648
id_15,2024-01-20 11:29:00,ventas,chat,659,9,18,A1,False,+34621970758
id_16,2024-01-27 10:21:00,retenciones,email,638,35,53,A5,False,+34650441204
id_17,2024-01-06 19:27:00,retenciones,email,517,2,34,A2,False,+34653892568
id_18,2024-01-07 08:00:00,ventas,voz,750,22,18,A2,False,+34672931048
id_19,2024-01-03 14:05:00,retenciones,voz,68,36,34,A2,False,+34623234510
id_20,2024-01-27 13:31:00,ventas,chat,542,67,42,A3,False,+34613022704
id_21,2024-01-26 11:11:00,posventa,email,596,0,23,A3,True,+34667922032
id_22,2024-01-02 09:27:00,soporte,chat,401,26,44,A3,False,+34688917675
id_23,2024-01-26 13:31:00,soporte,email,447,33,20,A3,False,+34606659908
id_24,2024-01-20 09:05:00,ventas,email,466,54,34,A2,False,+34635562619
id_25,2024-01-27 13:15:00,soporte,voz,619,19,16,A4,False,+34677809459
id_26,2024-01-09 08:39:00,posventa,chat,613,42,37,A5,False,+34670721464
id_27,2024-01-25 09:22:00,soporte,email,974,37,30,A3,False,+34671450611
id_28,2024-01-28 08:01:00,ventas,voz,495,50,42,A1,False,+34623448674
id_29,2024-01-19 10:19:00,retenciones,chat,650,36,29,A3,False,+34654710375
id_30,2024-01-20 10:47:00,ventas,voz,646,35,29,A5,True,+34619576703
id_31,2024-01-14 09:01:00,retenciones,voz,809,56,51,A4,False,+34655403796
id_32,2024-01-16 11:55:00,posventa,email,409,49,46,A4,False,+34624947744
id_33,2024-01-16 19:58:00,soporte,chat,326,14,53,A2,False,+34658245345
id_34,2024-01-21 08:27:00,soporte,email,552,47,45,A5,False,+34640820227
id_35,2024-01-03 08:16:00,retenciones,email,597,33,49,A5,False,+34666880548
id_36,2024-01-24 08:45:00,posventa,email,530,20,51,A4,False,+34631725526
id_37,2024-01-01 10:17:00,retenciones,voz,742,31,49,A2,False,+34691299103
id_38,2024-01-15 13:22:00,posventa,voz,952,31,22,A1,False,+34694569232
id_39,2024-01-08 08:08:00,ventas,voz,408,57,53,A2,False,+34676294551
id_40,2024-01-13 19:57:00,posventa,email,479,18,38,A1,False,+34602503771
id_41,2024-01-02 09:31:00,posventa,chat,502,31,74,A5,False,+34671531065
id_42,2024-01-22 08:51:00,posventa,email,226,0,46,A3,False,+34692526139
id_43,2024-01-12 19:04:00,ventas,email,842,26,34,A1,False,+34657351079
id_44,2024-01-20 09:59:00,retenciones,email,341,3,10,A3,False,+34603695961
id_45,2024-01-05 17:52:00,ventas,chat,572,14,34,A4,False,+34620840174
id_46,2024-01-02 13:47:00,soporte,chat,631,35,73,A1,False,+34677183765
id_47,2024-01-29 14:02:00,retenciones,email,453,4,36,A2,False,+34698208175
id_48,2024-01-21 14:35:00,ventas,email,974,24,21,A3,False,+34694919177
id_49,2024-01-22 12:35:00,soporte,voz,574,20,40,A3,False,+34610495300
id_50,2024-01-13 11:15:00,soporte,email,1069,33,30,A5,True,+34699967871
id_51,2024-01-27 11:23:00,ventas,email,749,66,43,A3,False,+34604035851
id_52,2024-01-03 08:32:00,posventa,voz,545,7,48,A1,False,+34630185054
id_53,2024-01-14 09:50:00,retenciones,chat,291,52,22,A2,False,+34608454561
id_54,2024-01-19 16:06:00,ventas,voz,914,37,29,A5,False,+34610617244
id_55,2024-01-24 11:24:00,ventas,voz,474,47,48,A4,False,+34693437616
id_56,2024-01-03 11:17:00,ventas,email,457,39,17,A2,False,+34662976036
id_57,2024-01-12 08:54:00,soporte,email,765,46,59,A4,False,+34688146618
id_58,2024-01-19 08:35:00,soporte,chat,604,24,30,A5,False,+34656294783
id_59,2024-01-20 10:57:00,posventa,voz,436,71,24,A5,False,+34610198499
id_60,2024-01-21 14:15:00,soporte,email,357,16,39,A3,False,+34617310852
id_61,2024-01-03 14:28:00,posventa,email,434,23,46,A3,False,+34631665404
id_62,2024-01-06 14:45:00,posventa,email,487,21,43,A4,False,+34680497273
id_63,2024-01-02 12:28:00,ventas,voz,310,1,29,A2,False,+34675524262
id_64,2024-01-27 17:25:00,ventas,chat,557,15,11,A1,False,+34638538877
id_65,2024-01-26 11:27:00,soporte,email,729,40,52,A2,False,+34638503931
id_66,2024-01-17 16:55:00,ventas,voz,826,0,57,A1,False,+34639301804
id_67,2024-01-13 12:15:00,soporte,voz,644,30,41,A1,False,+34699204497
id_68,2024-01-15 16:48:00,retenciones,voz,445,21,67,A5,False,+34693691765
id_69,2024-01-03 14:56:00,soporte,chat,571,17,35,A4,False,+34693837987
id_70,2024-01-26 15:57:00,soporte,email,452,14,26,A2,False,+34642734307
id_71,2024-01-27 13:16:00,posventa,voz,470,0,17,A4,False,+34658842658
id_72,2024-01-29 13:17:00,posventa,voz,735,63,14,A1,False,+34686966281
id_73,2024-01-24 09:58:00,ventas,email,835,20,14,A4,False,+34628267184
id_74,2024-01-13 08:33:00,retenciones,chat,870,36,68,A4,False,+34629702914
id_75,2024-01-21 14:36:00,posventa,email,784,46,19,A1,False,+34606195200
id_76,2024-01-19 11:00:00,ventas,voz,472,51,63,A4,False,+34685072967
id_77,2024-01-07 17:57:00,retenciones,voz,910,32,57,A2,False,+34607102173
id_78,2024-01-27 16:16:00,soporte,voz,613,42,60,A5,False,+34648840101
id_79,2024-01-28 09:37:00,posventa,voz,922,55,26,A4,False,+34669562616
id_80,2024-01-06 08:23:00,soporte,chat,623,24,48,A4,False,+34643558992
id_81,2024-01-05 11:09:00,soporte,voz,597,45,35,A4,False,+34615734209
id_82,2024-01-13 18:42:00,ventas,voz,267,27,38,A5,False,+34613081782
id_83,2024-01-16 18:53:00,ventas,voz,418,41,28,A2,False,+34665438362
id_84,2024-01-29 09:57:00,soporte,chat,934,42,32,A4,False,+34616618153
id_85,2024-01-29 13:20:00,posventa,voz,936,77,51,A4,False,+34675589337
id_86,2024-01-13 18:08:00,ventas,voz,542,29,26,A4,False,+34650066487
id_87,2024-01-30 18:47:00,ventas,chat,577,25,49,A3,False,+34693842126
id_88,2024-01-15 15:21:00,posventa,chat,751,45,28,A4,False,+34607585153
id_89,2024-01-13 17:13:00,posventa,voz,773,39,34,A2,False,+34647756479
id_90,2024-01-25 14:36:00,retenciones,voz,780,35,20,A1,False,+34664413145
id_91,2024-01-30 19:24:00,ventas,email,643,48,55,A3,False,+34693198563
id_92,2024-01-15 13:33:00,ventas,voz,730,71,60,A5,False,+34616203305
id_93,2024-01-09 12:05:00,posventa,email,645,46,39,A5,False,+34679357216
id_94,2024-01-21 13:20:00,soporte,voz,272,20,30,A5,False,+34616514877
id_95,2024-01-30 15:54:00,ventas,voz,759,32,66,A1,False,+34616263882
id_96,2024-01-08 17:50:00,ventas,email,585,21,47,A2,False,+34682405138
id_97,2024-01-20 08:19:00,posventa,voz,508,23,17,A5,False,+34653215075
id_98,2024-01-13 18:02:00,soporte,email,759,27,33,A5,False,+34603757974
id_99,2024-01-10 19:01:00,ventas,email,801,18,52,A1,False,+34608112074
id_100,2024-01-15 15:37:00,posventa,email,374,0,24,A5,False,+34677822269
id_101,2024-01-28 19:49:00,retenciones,chat,674,17,41,A2,False,+34601135964
id_102,2024-01-08 18:40:00,retenciones,voz,568,45,49,A3,False,+34608910852
id_103,2024-01-19 18:13:00,posventa,voz,158,37,35,A3,False,+34607021862
id_104,2024-01-08 10:37:00,posventa,chat,789,0,62,A1,False,+34649875088
id_105,2024-01-01 14:01:00,ventas,chat,778,31,26,A5,False,+34611630982
id_106,2024-01-19 15:41:00,ventas,voz,657,36,33,A5,False,+34609496563
id_107,2024-01-30 14:26:00,soporte,email,502,38,23,A3,False,+34609803005
id_108,2024-01-04 13:01:00,soporte,chat,436,39,45,A1,False,+34637612325
id_109,2024-01-13 11:44:00,soporte,chat,546,10,33,A3,False,+34615043403
id_110,2024-01-13 09:26:00,soporte,chat,675,57,55,A5,False,+34607726890
id_111,2024-01-27 12:19:00,retenciones,email,244,59,49,A5,False,+34660628583
id_112,2024-01-30 09:24:00,ventas,email,588,47,25,A5,False,+34636346859
id_113,2024-01-04 11:04:00,retenciones,email,643,38,43,A1,False,+34676796917
id_114,2024-01-19 15:40:00,soporte,chat,372,28,51,A1,False,+34669111188
id_115,2024-01-26 11:53:00,ventas,email,505,49,24,A5,False,+34618492846
id_116,2024-01-09 12:08:00,soporte,chat,454,42,30,A3,False,+34688121122
id_117,2024-01-20 16:25:00,soporte,email,554,42,59,A3,False,+34625146282
id_118,2024-01-27 19:58:00,soporte,email,436,25,35,A3,False,+34654440645
id_119,2024-01-21 15:32:00,posventa,chat,816,0,24,A1,False,+34635966581
id_120,2024-01-22 19:39:00,ventas,email,703,81,40,A4,True,+34688213938
id_121,2024-01-27 15:18:00,retenciones,voz,510,0,18,A1,False,+34613781009
id_122,2024-01-01 10:46:00,retenciones,voz,893,78,69,A3,False,+34665954738
id_123,2024-01-04 08:07:00,soporte,email,318,14,23,A4,True,+34699831174
id_124,2024-01-29 15:00:00,posventa,email,950,0,45,A1,False,+34623656190
id_125,2024-01-29 15:53:00,ventas,voz,762,0,42,A2,False,+34685808215
id_126,2024-01-14 15:45:00,ventas,chat,795,22,57,A5,False,+34675094484
id_127,2024-01-14 14:47:00,soporte,chat,646,15,50,A2,False,+34606202258
id_128,2024-01-04 19:17:00,ventas,chat,693,5,27,A3,False,+34612790902
id_129,2024-01-12 11:04:00,ventas,chat,837,16,54,A2,False,+34624899065
id_130,2024-01-22 19:23:00,soporte,email,527,33,25,A1,False,+34609944790
id_131,2024-01-17 09:50:00,retenciones,email,940,31,28,A4,False,+34686131989
id_132,2024-01-11 11:25:00,soporte,voz,924,4,41,A2,False,+34678987338
id_133,2024-01-06 09:20:00,soporte,chat,598,57,37,A1,False,+34606238795
id_134,2024-01-23 12:41:00,soporte,email,464,21,30,A3,False,+34657701082
id_135,2024-01-08 09:11:00,posventa,email,580,75,57,A2,False,+34689813693
id_136,2024-01-26 09:59:00,retenciones,voz,651,32,36,A1,True,+34631970599
id_137,2024-01-11 11:48:00,posventa,voz,749,60,38,A4,False,+34642955157
id_138,2024-01-05 15:32:00,soporte,voz,711,35,14,A4,False,+34686654442
id_139,2024-01-17 18:44:00,retenciones,chat,674,9,8,A2,False,+34628104320
id_140,2024-01-25 18:39:00,soporte,voz,529,0,33,A2,False,+34678021860
id_141,2024-01-12 19:50:00,posventa,chat,724,0,29,A3,False,+34650760636
id_142,2024-01-17 17:56:00,ventas,chat,550,3,36,A3,False,+34636045138
id_143,2024-01-08 12:16:00,posventa,email,857,51,33,A5,False,+34610563214
id_144,2024-01-27 17:40:00,retenciones,voz,726,38,43,A1,False,+34623387092
id_145,2024-01-22 17:06:00,retenciones,voz,689,25,56,A5,False,+34628348817
id_146,2024-01-27 17:38:00,retenciones,voz,583,31,33,A1,False,+34652879148
id_147,2024-01-02 10:36:00,posventa,chat,94,55,61,A3,False,+34630715395
id_148,2024-01-29 13:24:00,posventa,email,219,32,65,A5,False,+34607152747
id_149,2024-01-30 09:54:00,ventas,chat,651,29,49,A5,False,+34640739629
id_150,2024-01-20 08:28:00,soporte,chat,565,29,31,A1,False,+34693144811
id_151,2024-01-15 16:09:00,posventa,voz,546,16,66,A5,True,+34646695565
id_152,2024-01-24 09:03:00,soporte,chat,633,43,64,A4,False,+34617562548
id_153,2024-01-14 16:14:00,ventas,email,910,10,54,A3,False,+34684445004
id_154,2024-01-02 16:06:00,retenciones,email,557,33,47,A1,False,+34654496748
id_155,2024-01-14 17:42:00,retenciones,email,496,18,48,A3,False,+34620521013
id_156,2024-01-15 14:48:00,posventa,chat,475,80,47,A4,False,+34643951994
